{'cq': '1', 'h2': 624, 'c2': 778, 'h3': 597, 'c3': 778, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823868, 'hq': '1', 't1': 249, 't3': 249, 'h1': 597, 'c1': 778}
{'cq': '1', 'h2': 624, 'c2': 778, 'h3': 600, 'c3': 778, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823871, 'hq': '1', 't1': 249, 't3': 249, 'h1': 600, 'c1': 778}
{'cq': '1', 'h2': 624, 'c2': 780, 'h3': 600, 'c3': 780, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823886, 'hq': '1', 't1': 249, 't3': 249, 'h1': 600, 'c1': 780}
{'cq': '1', 'h2': 625, 'c2': 780, 'h3': 601, 'c3': 780, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562823889, 'hq': '1', 't1': 249, 't3': 249, 'h1': 601, 'c1': 780}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 604, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824007, 'hq': '1', 't1': 249, 't3': 249, 'h1': 604, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 606, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824010, 'hq': '1', 't1': 250, 't3': 250, 'h1': 606, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 610, 'c3': 779, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824013, 'hq': '1', 't1': 249, 't3': 249, 'h1': 610, 'c1': 779}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 597, 'c3': 775, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824050, 'hq': '1', 't1': 250, 't3': 250, 'h1': 597, 'c1': 775}
{'cq': '1', 'h2': 624, 'c2': 777, 'h3': 596, 'c3': 775, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824053, 'hq': '1', 't1': 250, 't3': 250, 'h1': 596, 'c1': 775}
{'cq': '1', 'h2': 622, 'c2': 774, 'h3': 594, 'c3': 776, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824151, 'hq': '1', 't1': 250, 't3': 250, 'h1': 594, 'c1': 776}
{'cq': '1', 'h2': 622, 'c2': 774, 'h3': 592, 'c3': 776, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824154, 'hq': '1', 't1': 250, 't3': 250, 'h1': 592, 'c1': 776}
{'cq': '1', 'h2': 622, 'c2': 774, 'h3': 591, 'c3': 776, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824157, 'hq': '1', 't1': 250, 't3': 250, 'h1': 591, 'c1': 776}
{'cq': '1', 'h2': 622, 'c2': 773, 'h3': 592, 'c3': 773, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824186, 'hq': '1', 't1': 249, 't3': 249, 'h1': 592, 'c1': 773}
